totalyearlycompensation,yearsofexperience,yearsatcompany,is_female,is_faang,Data Scientist,Hardware Engineer,Product Designer,Product Manager,Software Engineer,Software Engineering Manager,Solution Architect,Technical Program Manager,education_enc,CA,MA,NY,WA
210000,3.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
159000,3.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
188000,0.0,0.0,0,1,0,1,0,0,0,0,0,0,4.0,1,0,0,0
183000,6.0,0.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
168000,1.0,1.0,0,1,1,0,0,0,0,0,0,0,3.0,0,0,0,1
299000,7.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
110000,2.0,0.8,1,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
205000,10.0,10.0,0,0,0,0,0,0,0,0,0,0,3.0,0,0,0,0
180000,2.0,1.0,0,0,0,0,0,1,0,0,0,0,2.0,1,0,0,0
150000,0.0,0.0,0,0,1,0,0,0,0,0,0,0,3.0,1,0,0,0
162000,11.0,11.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
251000,3.0,3.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
145000,4.0,2.5,0,0,0,0,0,0,1,0,0,0,3.0,0,0,1,0
190000,5.0,5.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
240000,12.0,2.0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1
265000,10.0,5.0,0,0,1,0,0,0,0,0,0,0,3.0,0,0,0,0
190000,7.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
182000,2.0,0.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
385000,8.0,1.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
185000,6.0,2.0,0,1,0,0,0,0,1,0,0,0,3.0,0,0,0,0
214000,5.0,5.0,1,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1
350000,15.0,8.0,1,1,0,0,0,0,0,1,0,0,3.0,1,0,0,0
293000,4.0,0.0,0,1,0,0,0,0,1,0,0,0,4.0,1,0,0,0
300000,8.0,2.0,0,1,0,0,0,0,0,1,0,0,3.0,0,0,0,1
342000,7.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
143000,1.0,4.0,1,0,0,0,0,1,0,0,0,0,3.0,0,0,0,0
156000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
205000,12.0,12.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
150000,4.0,2.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
257000,3.0,0.0,0,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
210000,3.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
199000,8.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
310000,8.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
185000,12.0,1.0,0,0,0,1,0,0,0,0,0,0,4.0,1,0,0,0
320000,14.0,1.0,1,1,0,0,0,1,0,0,0,0,3.0,0,0,0,1
320000,14.0,1.0,1,1,0,0,0,1,0,0,0,0,3.0,0,0,0,1
177000,0.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
177000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
150000,4.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,0,1,0,0
146000,3.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
156000,5.0,5.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
356000,5.0,2.0,0,1,0,0,0,0,1,0,0,0,4.0,0,0,1,0
164000,5.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
196000,7.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
130000,5.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
330000,19.0,10.0,0,0,0,0,0,0,0,1,0,0,3.0,1,0,0,0
200000,3.0,5.0,0,0,0,0,0,1,0,0,0,0,3.0,0,0,0,1
136000,5.0,3.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
260000,14.0,4.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
330000,5.0,4.0,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
128000,2.0,2.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
194000,4.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
225000,3.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
188000,4.0,4.0,0,0,0,0,1,0,0,0,0,0,3.0,0,0,0,1
150000,3.0,1.0,1,1,1,0,0,0,0,0,0,0,3.0,0,0,0,1
138000,3.0,3.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
124000,6.0,2.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
170000,2.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
260000,20.0,5.0,0,0,0,0,0,1,0,0,0,0,3.0,1,0,0,0
113000,4.0,4.0,1,0,0,0,1,0,0,0,0,0,3.0,0,0,0,0
210000,10.0,4.0,0,0,0,0,0,0,0,0,1,0,3.0,0,0,1,0
136000,4.0,3.0,1,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
150000,3.0,1.0,0,0,0,0,0,1,0,0,0,0,3.0,1,0,0,0
260000,11.0,6.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
128000,6.0,4.0,1,0,0,0,1,0,0,0,0,0,3.0,1,0,0,0
260000,11.0,5.0,0,0,0,1,0,0,0,0,0,0,3.0,1,0,0,0
204000,4.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,1
148000,2.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
120000,2.0,0.0,0,0,0,0,0,0,1,0,0,0,3.0,0,0,0,0
188000,2.0,2.0,0,0,0,1,0,0,0,0,0,0,4.0,1,0,0,0
177000,4.0,4.0,1,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
374000,14.0,2.0,1,0,0,0,1,0,0,0,0,0,3.0,1,0,0,0
247000,11.0,1.0,0,0,0,0,0,0,1,0,0,0,3.0,1,0,0,0
255000,3.0,0.8,1,1,0,0,0,0,1,0,0,0,3.0,1,0,0,0
160000,1.0,1.0,0,0,0,0,0,0,1,0,0,0,4.0,0,0,0,1
